object_id,mjd,passband,flux,flux_err,detected_bool,log_lam
34299,59779.3188,2,87.79454,2.394942,1,3.790512458057345
34299,59779.3265,1,68.224197,2.879688,1,3.675928577911155
34299,59779.3342,3,87.452316,2.326311,1,3.875155060870028
34299,59779.3452,4,81.765785,3.025279,1,3.938479195804949
34299,59779.3562,5,82.755684,7.136933,1,3.987287656088505
34299,59782.1897,2,128.761414,1.646318,1,3.790512458057345
34299,59782.1974,1,101.792503,1.59821,1,3.675928577911155
34299,59782.2051,3,135.164734,2.484314,1,3.875155060870028
34299,59782.2162,4,132.826431,3.199994,1,3.938479195804949
34299,59782.2274,5,124.174202,7.640869,1,3.987287656088505
34299,59797.2861,2,363.736542,2.251009,1,3.790512458057345
34299,59797.2938,1,245.908417,1.94839,1,3.675928577911155
34299,59797.3015,3,419.572052,2.934291,1,3.875155060870028
34299,59797.3126,4,435.64975,3.588572,1,3.938479195804949
34299,59797.3237,5,430.522705,7.422361,1,3.987287656088505
34299,59800.3168,2,398.566711,3.14403,1,3.790512458057345
34299,59800.3244,1,250.785004,3.70246,1,3.675928577911155
34299,59800.332,3,465.129852,3.596911,1,3.875155060870028
34299,59800.3429,4,491.095154,3.956146,1,3.938479195804949
34299,59800.3539,5,493.475494,7.122695,1,3.987287656088505
34299,59807.1738,2,435.484161,2.844376,1,3.790512458057345
34299,59807.1815,1,260.808685,2.660799,1,3.675928577911155
34299,59807.1892,3,541.743042,3.302073,1,3.875155060870028
34299,59807.2003,4,584.174316,3.685083,1,3.938479195804949
34299,59807.2114,5,599.935303,6.075788,1,3.987287656088505
34299,59810.1045,2,441.293121,2.600675,1,3.790512458057345
34299,59810.1122,1,254.370056,1.945109,1,3.675928577911155
34299,59810.12,3,561.062134,3.41058,1,3.875155060870028
34299,59810.1311,4,615.384399,4.142417,1,3.938479195804949
34299,59810.1422,5,642.183472,7.454873,1,3.987287656088505
34299,59813.1044,2,438.962128,2.570986,1,3.790512458057345
34299,59813.1122,1,247.149292,1.883512,1,3.675928577911155
34299,59813.1199,3,572.80365,3.360396,1,3.875155060870028
34299,59813.131,4,641.400146,4.14572,1,3.938479195804949
34299,59813.1422,5,671.835999,6.959624,1,3.987287656088505
34299,59819.1532,0,68.512352,2.285539,1,3.5741887433059767
34299,59820.1047,0,72.264656,2.27701,1,3.5741887433059767
34299,59821.1026,0,69.658081,2.9876,1,3.5741887433059767
34299,59822.1105,0,67.733528,3.421672,1,3.5741887433059767
34299,59823.1505,0,58.58466,3.175172,1,3.5741887433059767
34299,59835.06,2,328.337982,2.449,1,3.790512458057345
34299,59835.0678,1,133.842834,2.658175,1,3.675928577911155
34299,59835.0755,3,516.065674,3.51028,1,3.875155060870028
34299,59835.0866,4,634.350891,4.239739,1,3.938479195804949
34299,59835.0978,5,727.461914,7.052535,1,3.987287656088505
34299,59839.0306,2,302.023712,2.049567,1,3.790512458057345
34299,59839.0384,1,115.775284,1.438687,1,3.675928577911155
34299,59839.0461,3,493.829742,3.035072,1,3.875155060870028
34299,59839.0573,4,614.975586,3.777944,1,3.938479195804949
34299,59839.0684,5,713.090332,6.51377,1,3.987287656088505
34299,59842.0207,2,283.421265,1.888117,1,3.790512458057345
34299,59842.0285,1,104.7575,1.320159,1,3.675928577911155
34299,59842.0362,3,472.49176,2.952065,1,3.875155060870028
34299,59842.0473,4,599.014526,3.821907,1,3.938479195804949
34299,59842.0585,5,695.667908,6.490768,1,3.987287656088505
34299,59854.0796,2,206.578552,1.615734,1,3.790512458057345
34299,59854.0873,1,64.568817,1.311489,1,3.675928577911155
34299,59854.095,3,380.119202,2.503757,1,3.875155060870028
34299,59854.1061,4,514.322815,3.423847,1,3.938479195804949
34299,59854.1172,5,631.905884,6.287667,1,3.987287656088505
34299,59857.0453,2,187.658966,2.079,1,3.790512458057345
34299,59857.0531,1,54.976982,2.509227,1,3.675928577911155
34299,59857.0608,3,352.948883,2.66875,1,3.875155060870028
34299,59857.0719,4,499.948639,3.537999,1,3.938479195804949
34299,59857.083,5,610.398682,6.411416,1,3.987287656088505
34299,59864.0162,2,154.925446,1.248701,1,3.790512458057345
34299,59864.0239,1,43.060429,0.981626,1,3.675928577911155
34299,59864.0316,3,309.830536,2.189347,1,3.875155060870028
34299,59864.0428,4,447.018951,3.283001,1,3.938479195804949
34299,59864.0539,5,568.674683,6.728525,1,3.987287656088505
34299,59867.0178,2,142.68898,1.566092,1,3.790512458057345
34299,59867.0255,1,35.858135,1.367581,1,3.675928577911155
34299,59867.0332,3,285.778687,2.689113,1,3.875155060870028
34299,59867.0443,4,428.795258,3.924225,1,3.938479195804949
34299,59867.0554,5,544.708618,9.968706,1,3.987287656088505
34299,59870.0194,2,128.485931,1.211525,1,3.790512458057345
34299,59870.0272,1,32.741535,0.992465,1,3.675928577911155
34299,59870.0349,3,273.922302,2.123049,1,3.875155060870028
34299,59870.0459,4,407.773285,3.302532,1,3.938479195804949
34299,59870.0571,5,516.532715,6.610523,1,3.987287656088505
34299,59873.0212,2,115.66642,1.023988,1,3.790512458057345
34299,59873.0289,1,28.963366,0.827382,1,3.675928577911155
34299,59873.0366,3,254.103729,1.866709,1,3.875155060870028
34299,59873.0477,4,386.239563,2.761589,1,3.938479195804949
34299,59873.0588,5,501.955933,5.597674,1,3.987287656088505
34299,59884.0823,2,81.651756,1.215466,1,3.790512458057345
34299,59884.09,1,16.250772,1.523382,1,3.675928577911155
34299,59884.0976,3,196.901871,1.890539,1,3.875155060870028
34299,59884.1085,4,315.58786,2.616482,1,3.938479195804949
34299,59884.1195,5,438.798462,5.521466,1,3.987287656088505
34299,59887.0298,2,73.853676,1.944668,1,3.790512458057345
34299,59887.0451,3,184.620728,2.517244,1,3.875155060870028
34299,59887.0562,4,300.705292,2.770888,1,3.938479195804949
34299,59887.0673,5,408.036957,5.878833,1,3.987287656088505
